"Date","hits","keyword"
"160",2020-05-25,35,"^GSPC"
"161",2020-06-01,33,"^GSPC"
"162",2020-06-08,54,"^GSPC"
"163",2020-06-15,30,"^GSPC"
"164",2020-06-22,29,"^GSPC"
"165",2020-06-29,19,"^GSPC"
"166",2020-07-06,48,"^GSPC"
"167",2020-07-13,29,"^GSPC"
"168",2020-07-20,27,"^GSPC"
"169",2020-07-27,16,"^GSPC"
"170",2020-08-03,21,"^GSPC"
"171",2020-08-10,31,"^GSPC"
"172",2020-08-17,16,"^GSPC"
"173",2020-08-24,18,"^GSPC"
"174",2020-08-31,32,"^GSPC"
"175",2020-09-07,29,"^GSPC"
"176",2020-09-14,12,"^GSPC"
"177",2020-09-21,34,"^GSPC"
"178",2020-09-28,17,"^GSPC"
"179",2020-10-05,24,"^GSPC"
"180",2020-10-12,28,"^GSPC"
"181",2020-10-19,32,"^GSPC"
"182",2020-10-26,31,"^GSPC"
"183",2020-11-02,21,"^GSPC"
"184",2020-11-09,19,"^GSPC"
"185",2020-11-16,6,"^GSPC"
"186",2020-11-23,23,"^GSPC"
"187",2020-11-30,24,"^GSPC"
"188",2020-12-07,24,"^GSPC"
"189",2020-12-14,30,"^GSPC"
"190",2020-12-21,12,"^GSPC"
"191",2020-12-28,23,"^GSPC"
"192",2021-01-04,19,"^GSPC"
"193",2021-01-11,37,"^GSPC"
"194",2021-01-18,21,"^GSPC"
"195",2021-01-25,30,"^GSPC"
"196",2021-02-01,33,"^GSPC"
"197",2021-02-08,8,"^GSPC"
"198",2021-02-15,8,"^GSPC"
"199",2021-02-22,19,"^GSPC"
"200",2021-03-01,6,"^GSPC"
"201",2021-03-08,5,"^GSPC"
"202",2021-03-15,3,"^GSPC"
"203",2021-03-22,0,"^GSPC"
"204",2021-03-29,6,"^GSPC"
"205",2021-04-05,14,"^GSPC"
"206",2021-04-12,0,"^GSPC"
"207",2021-04-19,0,"^GSPC"
"208",2021-04-26,3,"^GSPC"
"209",2021-05-03,3,"^GSPC"
"210",2021-05-10,3,"^GSPC"
"211",2021-05-17,0,"^GSPC"
"212",2021-05-24,3,"^GSPC"
"213",2021-05-31,0,"^GSPC"
"214",2021-06-07,3,"^GSPC"
"215",2021-06-14,6,"^GSPC"
"216",2021-06-21,3,"^GSPC"
"217",2021-06-28,0,"^GSPC"
"218",2021-07-05,0,"^GSPC"
"219",2021-07-12,0,"^GSPC"
"220",2021-07-19,3,"^GSPC"
"221",2021-07-26,6,"^GSPC"
"222",2021-08-02,3,"^GSPC"
"223",2021-08-09,0,"^GSPC"
"224",2021-08-16,0,"^GSPC"
"225",2021-08-23,3,"^GSPC"
"226",2021-08-30,0,"^GSPC"
"227",2021-09-06,9,"^GSPC"
"228",2021-09-13,6,"^GSPC"
"229",2021-09-20,3,"^GSPC"
"230",2021-09-27,3,"^GSPC"
"231",2021-10-04,6,"^GSPC"
"232",2021-10-11,0,"^GSPC"
"233",2021-10-18,0,"^GSPC"
"234",2021-10-25,3,"^GSPC"
"235",2021-11-01,0,"^GSPC"
"236",2021-11-08,3,"^GSPC"
"237",2021-11-15,0,"^GSPC"
"238",2021-11-22,3,"^GSPC"
"239",2021-11-29,6,"^GSPC"
"240",2021-12-06,0,"^GSPC"
"241",2021-12-13,0,"^GSPC"
"242",2021-12-20,6,"^GSPC"
"243",2021-12-27,0,"^GSPC"
"244",2022-01-03,0,"^GSPC"
"245",2022-01-10,0,"^GSPC"
"246",2022-01-17,6,"^GSPC"
"247",2022-01-24,6,"^GSPC"
"248",2022-01-31,0,"^GSPC"
"249",2022-02-07,3,"^GSPC"
"250",2022-02-14,3,"^GSPC"
"251",2022-02-21,3,"^GSPC"
"252",2022-02-28,6,"^GSPC"
"253",2022-03-07,0,"^GSPC"
"254",2022-03-14,3,"^GSPC"
"255",2022-03-21,6,"^GSPC"
"256",2022-03-28,3,"^GSPC"
"257",2022-04-04,5,"^GSPC"
"258",2022-04-11,0,"^GSPC"
"259",2022-04-18,6,"^GSPC"
"260",2022-04-25,3,"^GSPC"
"261",2022-05-02,0,"^GSPC"
